Rank(2023),Airports,IATACode,cities served,Metro area,State,2023[2],2022[3],2021[4],2020[5],2019[6],2018[7],2017[8],2016[9],2015[10],2014[11],Hub
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,Atlanta,GA,"50,950,068","45,396,001","36,676,010","20,559,866","53,505,795","51,865,797","50,251,964","50,501,858","49,340,732","46,604,273",Large
2,Los Angeles International Airport,LAX,Los Angeles,Greater Los Angeles,CA,"40,956,673","32,326,616","23,663,410","14,055,777","42,939,104","42,624,050","41,232,432","39,636,042","36,351,272","34,314,197",Large
3,Dallas Fort Worth International Airport,DFW,Dallas and Fort Worth,Dallas–Fort Worth,TX,"39,246,212","35,345,138","30,005,266","18,593,421","35,778,573","32,821,799","31,816,933","31,283,579","31,589,839","30,804,567",Large
4,Denver International Airport,DEN,Denver,Denver,CO,"37,863,967","33,773,832","28,645,527","16,243,216","33,592,945","31,362,941","29,809,097","28,267,394","26,280,043","26,000,591",Large
5,O'Hare International Airport,ORD,Chicago,Chicagoland,IL,"35,843,104","33,120,474","26,350,976","14,606,034","40,871,223","39,873,927","38,593,028","37,589,899","36,305,668","33,843,426",Large
6,John F. Kennedy International Airport,JFK,New York City,New York Metro,NY,"30,804,355","27,154,885","15,273,342","8,269,819","31,036,655","30,620,769","29,533,154","29,239,151","27,782,369","26,244,928",Large
7,Orlando International Airport,MCO,Orlando,Greater Orlando,FL,"28,033,205","24,469,733","19,618,838","10,467,728","24,562,271","23,202,480","21,565,448","20,283,541","18,759,938","17,278,608",Large
8,Harry Reid International Airport,LAS,Las Vegas,Las Vegas,NV,"27,896,199","25,480,500","19,160,342","10,584,059","24,728,361","23,795,012","23,364,393","22,833,267","21,857,693","20,620,248",Large
9,Charlotte Douglas International Airport,CLT,Charlotte,Charlotte,NC,"25,896,224","23,100,300","20,900,875","12,952,869","24,199,688","22,281,949","22,011,251","21,511,880","21,913,166","21,537,725",Large
10,Miami International Airport,MIA,Miami,Miami Metro,FL,"24,717,048","23,949,892","17,500,096","8,786,007","21,421,031","21,021,640","20,709,225","20,875,813","20,986,349","19,471,466",Large
11,Seattle–Tacoma International Airport,SEA,Seattle and Tacoma,Seattle Metro,WA,"24,594,210","22,157,862","17,430,195","9,462,411","25,001,762","24,024,908","22,639,124","21,887,110","20,148,980","17,888,080",Large
12,Newark Liberty International Airport,EWR,Newark and New York City,New York Metro,NJ,"24,575,320","21,774,690","14,514,049","7,985,474","23,160,763","22,797,602","21,571,198","19,923,009","18,684,818","17,773,405",Large
13,San Francisco International Airport,SFO,San Francisco,San Francisco Bay Area,CA,"24,191,159","20,411,420","11,725,347","7,745,057","27,779,230","27,790,717","26,900,048","25,707,101","24,190,560","22,770,783",Large
14,Phoenix Sky Harbor International Airport,PHX,Phoenix,Phoenix,AZ,"23,880,504","21,852,586","18,940,287","10,531,436","22,433,552","21,622,580","21,185,458","20,896,265","21,351,504","20,344,867",Large
15,George Bush Intercontinental Airport,IAH,Houston,Houston,TX,"22,228,844","19,814,052","16,242,821","8,682,558","21,905,309","21,157,398","19,603,731","20,062,072","20,595,881","19,772,087",Large
16,Logan International Airport,BOS,Boston,Boston,MA,"19,962,678","17,443,775","10,909,817","6,035,452","20,699,377","20,006,521","18,759,742","17,759,044","16,290,362","15,507,561",Large
17,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale and Hollywood,Miami Metro,FL,"17,063,063","15,370,165","13,598,994","8,015,744","17,950,989","17,612,331","15,817,043","14,263,270","13,061,632","12,031,860",Large
18,Minneapolis–Saint Paul International Airport,MSP,Minneapolis and Saint Paul,Minneapolis–Saint Paul,MN,"17,019,128","15,242,089","12,211,409","7,069,720","19,192,917","18,361,942","18,409,704","18,123,844","17,634,273","16,972,678",Large
19,LaGuardia Airport,LGA,New York City,New York Metro,NY,"16,173,073","14,367,463","7,827,307","4,147,116","15,393,601","15,058,501","14,614,802","14,762,593","14,319,924","13,535,372",Large
20,Detroit Metropolitan Airport,DTW,Detroit,Detroit Metro,MI,"15,378,601","13,751,197","11,517,696","6,822,324","18,143,040","17,436,837","17,036,092","16,847,135","16,255,520","15,775,941",Large
21,Philadelphia International Airport,PHL,Philadelphia,Philadelphia Metro,PA,"13,656,189","12,421,168","9,820,222","5,753,239","16,006,389","15,292,670","14,271,243","14,564,419","15,101,349","14,792,339",Large
22,Salt Lake City International Airport,SLC,Salt Lake City,Salt Lake City,UT,"12,905,368","12,383,843","10,795,906","5,753,239","12,840,841","12,226,730","11,615,954","11,143,738","10,634,538","10,139,065",Large
23,Baltimore/Washington International Airport,BWI,"Baltimore and Washington, D.C.",Baltimore,MD,"12,849,721","11,151,169","9,253,561","5,451,355","13,284,687","13,371,816","12,976,554","12,340,972","11,738,845","11,022,200",Large
24,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",Washington Metro,VA,"12,365,030","11,553,850","6,731,737","3,573,489","11,595,454","11,367,176","11,506,310","11,470,854","11,242,375","10,057,794",Large
25,San Diego International Airport,SAN,San Diego,San Diego,CA,"12,190,183","11,162,224","7,836,360","4,637,856","12,648,692","12,174,224","11,139,933","10,340,164","9,985,763","9,333,152",Large
26,Dulles International Airport,IAD,"Washington, D.C.",Washington Metro,VA,"12,073,571","10,266,324","7,227,875","3,862,658","11,884,117","11,621,623","11,024,306","10,596,942","10,363,974","10,415,948",Large
27,Tampa International Airport,TPA,Tampa,Tampa,FL,"11,677,632","10,539,459","8,847,197","4,966,775","10,978,756","10,368,514","9,548,580","9,194,994","9,150,458","8,531,561",Large
28,Nashville International Airport,BNA,Nashville,Nashville,TN,"11,227,243","9,829,062","7,594,049","4,013,995","8,935,654","8,017,347","6,902,771","6,338,517","5,715,205","5,396,958",Large
29,Austin–Bergstrom International Airport,AUS,Austin,Austin,TX,"10,833,443","10,382,573","6,666,215","3,141,505","8,683,711","7,921,797","6,973,115","6,095,545","5,797,547","5,219,982",Large
30,Midway International Airport,MDW,Chicago,Chicagoland,IL,"10,659,520","9,650,281","7,680,617","4,236,603","10,081,781","10,678,018","10,912,074","11,044,387","10,830,850","10,311,996",Large
31,Daniel K. Inouye International Airport,HNL,Honolulu,Honolulu,HI,"10,149,761","8,828,395","5,830,928","3,126,391","9,988,678","9,578,505","9,743,989","9,656,340","9,656,340","9,463,000",Large
